gene_family,total_genomes,diazotroph_count,diazotroph_pct,is_pure
GF_00669,47,44,0.9361702127659575,True
GF_00670,98,85,0.8673469387755102,False
GF_00671,109,98,0.8990825688073395,False
GF_00672,260,118,0.45384615384615384,False
GF_00673,153,102,0.6666666666666666,False
GF_00674,90,88,0.9777777777777777,True
GF_00675,105,51,0.4857142857142857,False
GF_00676,142,85,0.5985915492957746,False
GF_00677,165,92,0.5575757575757576,False
GF_00678,41,3,0.07317073170731707,True
GF_00679,99,54,0.5454545454545454,False
GF_00680,46,11,0.2391304347826087,False
GF_00681,56,54,0.9642857142857143,True
GF_00682,81,68,0.8395061728395061,False
GF_00683,73,69,0.9452054794520548,True
GF_00684,90,86,0.9555555555555556,True
GF_00685,92,88,0.9565217391304348,True
GF_00686,96,86,0.8958333333333334,False
GF_00687,285,126,0.4421052631578947,False
GF_00688,108,69,0.6388888888888888,False
